rowindex,contract,price_crossing,price_distortion,roll_start,roll_heart,near_minus_next,ctd_last_first,ctd1_percent,delivery_cost,delivery_ratio,squeeze
52,TUU05 Comdty,1,0.014529785,0.119282251,0.011883999,0.154569116,1,0.107484581,0.793290208,0.184844929,FALSE
53,TUZ05 Comdty,1,0.854635975,0.100603139,0.600603628,0.035125127,0.107749728,1,0.004802622,0.026774154,TRUE
54,TUH06 Comdty,0.195782722,0.164395105,0.891258767,1,1,0.101415112,1,0.060380002,0.139500063,FALSE
55,TUM06 Comdty,0.179559466,1,0.995497161,1,0.582733873,0.140204899,0.143666492,0.135139967,0.147462462,FALSE
56,TUU06 Comdty,1,0.977995655,0.058973275,0.09252015,0.65419309,0.109609414,0.166596599,0.576393237,1,TRUE
57,TUZ06 Comdty,1,0.107700367,0.105422272,0.818186149,1,0.093918098,0.901226029,0.118363288,1,TRUE
58,TUH07 Comdty,0.840187868,1,0.059856859,1,1,0.583504198,0.033139791,0.068222101,0.787567687,FALSE
59,TUM07 Comdty,0.068618708,0.194536039,0.027722601,0.118512632,0.981637029,0.794406892,1,0.199060617,1,TRUE
60,TUU07 Comdty,1,0.601786869,0.16453064,0.598112519,0.1151022,1,0.608426559,0.095148191,1,TRUE
61,TUZ07 Comdty,1,0.014328724,0.593025992,0.142081584,0.611993305,0.116824546,1,0.745749692,1,TRUE
62,TUH08 Comdty,1,0.818144522,0.588657332,0.046700262,0.684855398,0.106976294,0.601827042,0.195559905,0.066236142,FALSE
63,TUM08 Comdty,0.075737516,1,0.175989608,0.025616175,0.051718748,0.118508703,1,0.038102085,0.078841706,FALSE
64,TUU08 Comdty,1,0.014901248,1,0.183080029,0.103128709,0.050807484,0.024728154,0.057783898,1,FALSE
65,TUZ08 Comdty,0.578963178,0.156587727,0.087521274,0.150551459,1,0.106366227,0.598820683,0.053259539,0.922767063,FALSE
66,TUH09 Comdty,0.624717481,0.851369086,1,0.964086173,0.115705805,0.972016785,0.176224421,0.77664671,0.087363106,TRUE
67,TUM09 Comdty,0.909001966,0.626969132,0.084464465,0.725236351,0.853856887,0.049931325,0.173168904,0.935564921,0.822908899,TRUE
68,TUU09 Comdty,1,0.867859263,0.861565598,0.045442964,1,0.014265546,0.865275204,0.131642283,1,TRUE
69,TUZ09 Comdty,0.163261042,1,1,0.152863253,0.160530127,1,0.007912342,0.022939045,0.168782305,FALSE
70,TUH10 Comdty,0.088409899,0.573804374,0.00489118,0.102993414,0.866446818,0.046805405,0.752634397,0.749303709,0.009248088,FALSE
71,TUM10 Comdty,0.762309848,0.049361686,1,0.805038148,0.11326716,0.133762047,0.911426686,1,0.124744507,FALSE
72,TUU10 Comdty,0.55428326,1,0.552831235,0.165135905,0.053985509,0.000401181,0.006802087,0.13586808,0.090268914,FALSE
73,TUZ10 Comdty,1,1,0.132799423,0.17326914,1,0.045641644,0.049692839,0.021262093,0.035615229,FALSE
74,TUH11 Comdty,1,0.195443135,0.637926107,0.105074641,0.172004454,0.808360665,0.566590884,1,0.12529729,FALSE
75,TUM11 Comdty,0.134794768,1,1,0.123712138,1,1,0.038928577,0.874528455,1,TRUE
76,TUU11 Comdty,0.838048924,0.700241101,0.125456767,0.130129748,0.914066238,0.00032536,0.126330156,0.161208826,0.1118523,TRUE
77,TUZ11 Comdty,0.010132691,1,0.09259658,0.043678552,1,0.043582851,1,0.066210845,0.103302695,FALSE
78,TUH12 Comdty,1,1,0.028925497,1,0.702438022,0.160171615,0.166204868,0.817802531,0.123404092,TRUE
79,TUM12 Comdty,0.863881692,0.029228752,0.965346746,0.121721891,0.990749214,1,0.103052595,1,1,FALSE
80,TUU12 Comdty,0.824324082,1,0.086084948,1,0.125727003,0.126950308,0.061654741,0.13854314,0.024998403,FALSE
81,TUZ12 Comdty,0.162880612,0.054267277,0.139243332,1,0.590806297,0.097452854,0.831992421,0.722156343,0.180190807,FALSE
82,TUH13 Comdty,0.125652075,0.15233066,0.142659636,0.041220977,0.020688842,1,0.165177229,1,0.082612886,FALSE
83,TUM13 Comdty,0.166507722,0.127517874,0.85011409,0.029120641,1,0.070933073,0.054595286,1,0.145391748,FALSE
84,TUU13 Comdty,1,0.071131876,0.799044023,1,0.07948886,1,0.181316434,0.01554864,0.097017688,FALSE
85,TUZ13 Comdty,0.093938548,0.735832263,0.685443668,0.564303516,0.760814239,1,0.0834371,1,0.143974137,TRUE
86,TUH14 Comdty,0.118750919,1,1,0.699931346,0.189688215,0.759072894,0.846878595,0.154893898,1,TRUE
87,TUM14 Comdty,0.581744656,1,0.177829039,0.673093427,0.932101461,0.055521788,1,0.954990353,0.015797094,TRUE
88,TUU14 Comdty,0.054115448,0.85355295,0.893419402,1,0.779798424,0.6247326,0.176733412,0.071204265,0.697532582,TRUE
89,TUZ14 Comdty,0.96651011,0.041047482,0.037669503,0.143045353,0.585673474,0.138757414,1,1,0.980848425,FALSE
90,TUH15 Comdty,0.018686533,1,0.024591513,0.970643013,1,0.727673931,0.596621033,0.891656293,1,TRUE
91,TUM15 Comdty,0.184691272,1,0.045622147,0.172906196,0.035461419,1,1,1,0.117542782,TRUE
92,TUU15 Comdty,0.004339898,1,0.039143087,0.064086211,0.073713919,0.037128262,0.68887711,1,1,TRUE
93,TUZ15 Comdty,0.012177183,0.080167394,0.837623371,0.106196453,0.99051819,0.100204585,1,0.819693432,1,FALSE
94,TUH16 Comdty,0.671590012,0.975504565,0.105503034,0.147327322,0.048663087,1,1,0.104102266,0.13858702,TRUE
95,TUM16 Comdty,0.144278068,0.112670231,1,0.829628852,0.185082115,0.022820371,1,1,0.693395991,FALSE
96,TUU16 Comdty,0.911797061,0.199004121,0.161515053,0.187085313,0.805618307,1,0.146904009,0.195020892,0.108997956,TRUE
97,TUZ16 Comdty,0.75451299,0.116800292,1,1,1,0.040487283,0.983359206,0.738385505,0.056266127,TRUE
98,TUH17 Comdty,1,0.148141164,0.176932889,0.161279006,0.104741105,0.095224258,0.173913547,1,0.784714842,TRUE
99,TUM17 Comdty,0.012156644,0.998625236,0.632255533,0.181002416,0.653162529,1,0.568217829,0.171555713,0.083302969,FALSE
100,TUU17 Comdty,0.980872774,0.081069575,1,0.583239963,0.164323171,0.141166604,0.071209749,0.741822086,0.16915993,FALSE
101,TUZ17 Comdty,1,0.167296349,1,0.041056187,0.008008314,0.115588455,1,1,0.050005382,FALSE
102,TUH18 Comdty,0.059108657,1,1,0.652319568,0.781199213,1,1,0.018064119,1,TRUE
103,TUM8 Comdty,0.038479786,0.018522521,0.098732168,0.132891111,0.166817278,0.024296864,0.079485444,0.114371317,0.117750889,FALSE
104,TUU8 Comdty,0.870722347,1,0.180476414,0.16713884,0.036099315,0.182766884,0.112230824,1,1,FALSE
105,TUZ8 Comdty,0.09132935,0.07534856,0.134536657,0.008951128,1,0.148238229,0.759022954,0.015468354,0.055794898,FALSE
106,TUH9 Comdty,0.037161173,1,0.162437933,0.570717673,0.864679055,0.133588068,1,0.094505654,0.703501602,TRUE
107,TUM9 Comdty,1,0.027843028,1,0.82355909,1,0.016142468,0.029470313,1,0.097563079,TRUE
108,FVH91 Comdty,1,1,0.109202056,0.046779964,1,0.034974335,0.039279885,1,0.188216012,FALSE
109,FVZ92 Comdty,0.181954022,0.096907913,0.194615709,1,1,0.192923622,1,0.656648165,1,TRUE
110,FVH93 Comdty,0.638071718,0.719000124,0.130367586,1,0.619571105,0.17183743,0.56360291,1,0.091479014,TRUE
111,FVM93 Comdty,1,1,1,0.123503151,0.184928889,1,0.111964528,1,0.015673794,FALSE
112,FVU93 Comdty,0.798566812,0.955401151,0.156400958,0.054197591,1,0.129701974,1,0.136413583,0.10821422,TRUE
113,FVZ93 Comdty,0.094950512,0.149771583,0.196950428,0.150488802,1,0.044430538,0.068700115,0.78941554,0.800183137,FALSE
